name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in Barcelona,4.88,1 bath,3 beds,2 bedrooms,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,131.0,5,111,2023-12-03,2.25,9,110,35,HUTB-005227,41.3918,2.1863
Rental unit in Barcelona,,,3 beds,3 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,93.0,2,1,2023-07-23,0.21,174,365,1,HUTB-003808,41.3845,2.1796
Rental unit in Barcelona,3.67,1 bath,2 beds,2 bedrooms,130223809,BeAndLiveHomes,Ciutat Vella,el Raval,Entire home/apt,58.0,32,3,2023-01-28,0.06,70,364,1,,41.382,2.1656
Rental unit in Barcelona,4.0,1 shared bath,1 bed,1 bedroom,299556716,Greta,Gràcia,el Camp d'en Grassot i Gràcia Nova,Private room,,1,6,2020-02-24,0.12,1,0,0,Exempt,41.4071,2.165
Rental unit in Barcelona,4.56,1 bath,2 beds,2 bedrooms,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,91.0,1,62,2023-11-19,1.29,20,302,22,HUTB-004301,41.3962,2.1765
Rental unit in Barcelona,4.51,1 bath,2 beds,2 bedrooms,299462,Stay U-Nique,Gràcia,la Vila de Gràcia,Entire home/apt,100.0,3,107,2023-11-26,2.15,141,340,22,HUTB-007324,41.4068,2.1596
Rental unit in Barcelona,4.66,1 bath,3 beds,2 bedrooms,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,77.0,31,38,2023-11-18,0.79,20,286,3,HUTB-011294,41.3958,2.1756
Rental unit in Barcelona,,,3 beds,2 bedrooms,3193594,Jan,Eixample,Sant Antoni,Entire home/apt,110.0,7,2,2022-03-02,0.09,10,0,0,HUTB-004774,41.3774,2.1621
Rental unit in Barcelona,,,2 beds,Studio,265193861,BeBarceloner,Ciutat Vella,el Raval,Entire home/apt,60.0,32,1,2022-01-12,0.04,148,330,0,,41.3847,2.1697
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Gràcia,la Vila de Gràcia,Private room,35.0,32,0,,,136,365,0,,41.3973,2.1546
Rental unit in Barcelona,4.26,3 baths,5 beds,3 bedrooms,48131122,Bolepo Holdings,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,,1,19,2022-10-20,0.66,1,0,0,HUTB-001028,41.393,2.1909
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Private room,32.0,32,0,,,136,365,0,,41.3975,2.1541
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Gràcia,la Vila de Gràcia,Private room,32.0,32,0,,,136,365,0,,41.399,2.154
Rental unit in Barcelona,4.83,1 bath,3 beds,1 bedroom,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,98.0,1,52,2023-11-18,1.09,20,262,26,HUTB-011292,41.3963,2.1752
Rental unit in Barcelona,,,2 beds,1 bedroom,299299896,Eutopia,Ciutat Vella,el Raval,Private room,53.0,31,0,,,2,0,0,,41.3811,2.1639
Rental unit in Barcelona,4.99,2 baths,7 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,150.0,5,90,2023-11-27,1.86,9,200,41,HUTB-005221,41.3918,2.185
Rental unit in Barcelona,4.86,2 baths,7 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,183.0,5,99,2023-12-11,2.04,9,0,40,HUTB-005223,41.3901,2.1862
Rental unit in Barcelona,4.88,2 baths,7 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,171.0,5,104,2023-12-10,2.17,9,110,44,HUTB-005224,41.3898,2.1848
Rental unit in Barcelona,4.90,2 baths,6 beds,3 bedrooms,251710733,Magda,Eixample,Sant Antoni,Entire home/apt,237.0,4,20,2023-11-11,0.99,4,181,10,HUTB-009312,41.3757,2.152
Rental unit in Barcelona,4.95,1 private bath,1 bed,1 bedroom,159289083,Thierry,Sants-Montjuïc,el Poble Sec,Private room,67.0,2,39,2023-12-09,0.84,2,64,3,Exempt,41.3734,2.1565
Rental unit in Barcelona,4.86,2 baths,3 beds,2 bedrooms,494213,Valerie,Ciutat Vella,el Raval,Entire home/apt,65.0,32,7,2022-11-09,0.19,1,296,0,,41.3798,2.1661
Rental unit in Barcelona,4.75,1 bath,1 bed,Studio,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,84.0,1,56,2023-10-14,1.17,20,311,23,HUTB-011286,41.3964,2.1751
Rental unit in Barcelona,4.50,1 bath,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,el Raval,Entire home/apt,50.0,90,4,2023-10-31,0.14,148,342,3,,41.3839,2.1659
Rental unit in Barcelona,4.70,1 bath,3 beds,1 bedroom,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,123.0,1,50,2023-11-29,1.04,20,286,24,HUTB-011281,41.3977,2.1752
Rental unit in Barcelona,4.84,2 baths,5 beds,3 bedrooms,21483975,Apartments Toni Space Barcelona,Sants-Montjuïc,el Poble Sec,Entire home/apt,112.0,3,120,2023-12-11,2.49,16,0,49,HUTB-009542,41.3731,2.1594
Rental unit in Barcelona,,,1 bed,1 bedroom,301803084,Liliana,Ciutat Vella,el Barri Gòtic,Private room,,1,1,2019-10-22,0.02,1,0,0,Exempt,41.3804,2.1792
Rental unit in Barcelona,,,1 bed,1 bedroom,38579914,Mateu,Sants-Montjuïc,Hostafrancs,Private room,,1,0,,,2,0,0,Exempt,41.3745,2.1438
Rental unit in Barcelona,4.80,1 bath,3 beds,2 bedrooms,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,101.0,1,40,2023-11-22,0.84,20,278,26,HUTB-011293,41.398,2.1752
Loft in Barcelona,,,2 beds,2 bedrooms,9866189,James,Gràcia,la Vila de Gràcia,Entire home/apt,87.0,31,2,2023-09-03,0.14,1,32,1,Exempt,41.4057,2.1562
Loft in Barcelona,4.72,1 bath,2 beds,Studio,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,73.0,31,54,2023-02-28,1.13,20,325,6,HUTB-011278,41.3958,2.1764
Rental unit in Barcelona,4.69,1 bath,3 beds,1 bedroom,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,63.0,31,26,2023-09-02,0.54,20,341,2,HUTB-011282,41.3967,2.177
Rental unit in Barcelona,4.73,1 bath,2 beds,Studio,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,92.0,1,63,2023-11-24,1.32,20,273,31,HUTB-011287,41.3961,2.1755
Rental unit in Barcelona,4.50,1 bath,2 beds,2 bedrooms,301610993,Pol & Alvaro,Eixample,la Dreta de l'Eixample,Entire home/apt,109.0,1,50,2023-11-18,1.05,20,292,31,HUTB-011274,41.3963,2.1753
Rental unit in Barcelona,,,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,el Raval,Entire home/apt,50.0,90,1,2023-09-17,0.34,148,132,1,,41.3855,2.1658
Rental unit in Barcelona,5.0,1 bath,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,el Raval,Entire home/apt,57.0,32,3,2023-12-02,0.59,148,342,3,,41.3836,2.1647
Home in Barcelona,4.95,1 private bath,1 bed,1 bedroom,53723101,Vaitiare,Horta-Guinardó,el Guinardó,Private room,75.0,2,58,2023-10-27,1.25,1,0,23,Exempt,41.4197,2.1766
Rental unit in Barcelona,4.71,2 baths,2 beds,2 bedrooms,38047041,Toni,Ciutat Vella,el Raval,Entire home/apt,60.0,31,7,2023-07-30,0.16,1,213,5,,41.3848,2.1678
Rental unit in Barcelona,5.0,2 baths,3 beds,3 bedrooms,6499711,Irina,Sant Martí,el Poblenou,Entire home/apt,115.0,30,11,2023-09-01,0.23,1,330,3,Exempt,41.4027,2.207
Rental unit in Barcelona,4.80,1 bath,2 beds,1 bedroom,3348832,Mathieu,Eixample,Sant Antoni,Entire home/apt,103.0,3,135,2023-12-04,2.72,6,314,40,HUTB-004429,41.3761,2.1584
Guesthouse in Barcelona,,,3 beds,2 bedrooms,304066928,Regina,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,150.0,30,0,,,1,0,0,,41.3896,2.1784
Rental unit in Barcelona,4.95,2 baths,5 beds,3 bedrooms,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,185.0,5,94,2023-12-09,1.95,9,167,39,HUTB-005226,41.392,2.1864
Rental unit in Barcelona,4.94,2 baths,8 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,196.0,5,97,2023-12-11,2.06,9,0,35,HUTB-005225,41.3917,2.1852
Rental unit in Barcelona,4.63,1 bath,3 beds,1 bedroom,1310304,Luis,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,63.0,32,8,2023-08-02,0.16,43,199,2,,41.3834,2.1588
Rental unit in Barcelona,,,5 beds,3 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,93.0,2,0,,,174,363,0,HUTB-003898,41.3838,2.181
Rental unit in Barcelona,4.43,2 baths,7 beds,4 bedrooms,4085156,BBarcelona,Eixample,la Sagrada Família,Entire home/apt,160.0,2,7,2023-09-24,0.8,20,164,7,HUTB-010733,41.4092,2.1783
Rental unit in Barcelona,,,1 bed,1 bedroom,304091904,Gabriel,Gràcia,la Vila de Gràcia,Private room,,1,0,,,1,0,0,HUTB-009822,41.4018,2.1534
Rental unit in Barcelona,4.80,2 baths,2 beds,2 bedrooms,302307722,Ignacio,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,220.0,2,71,2023-11-11,1.45,1,358,40,HUTB-008469,41.3871,2.1556
Rental unit in Barcelona,4.75,1 shared bath,2 beds,1 bedroom,154808938,Josep,Sants-Montjuïc,la Marina de Port,Private room,,1,72,2022-04-01,1.46,1,0,0,Exempt,41.3643,2.1371
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Gràcia,la Vila de Gràcia,Private room,35.0,32,0,,,136,365,0,,41.4043,2.1512
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Sarrià-Sant Gervasi,el Putxet i el Farró,Private room,32.0,32,0,,,136,365,0,,41.4048,2.1492
Rental unit in Barcelona,,,1 bed,1 bedroom,298587474,Andrea,Eixample,Sant Antoni,Private room,,1,0,,,1,0,0,Exempt,41.3757,2.1504
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Gràcia,la Vila de Gràcia,Private room,29.0,32,0,,,136,330,0,,41.4062,2.1509
Rental unit in Barcelona,,,1 bed,1 bedroom,36607755,Room Housing,Gràcia,la Vila de Gràcia,Private room,29.0,32,0,,,136,365,0,,41.4049,2.1514
Rental unit in Barcelona,4.61,1 bath,3 beds,2 bedrooms,299462,Stay U-Nique,Eixample,Sant Antoni,Entire home/apt,1500.0,5,18,2020-03-15,0.36,141,364,0,HUTB003402,41.3797,2.1628
Rental unit in Barcelona,,,6 beds,3 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,240.0,1,0,,,35,333,0,Exempt,41.4053,2.214
Rental unit in Barcelona,4.25,1 bath,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,el Raval,Entire home/apt,57.0,32,4,2023-11-18,0.1,148,332,2,,41.385,2.1658
Serviced apartment in Barcelona,4.52,1 bath,4 beds,2 bedrooms,266006958,Sata Sagrada Familia,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,111.0,3,341,2023-12-07,7.22,5,78,203,HUTB-001471,41.4084,2.1652
Rental unit in Barcelona,4.48,1 bath,3 beds,Studio,304288450,Alguera Hola,Les Corts,les Corts,Entire home/apt,99.0,1,143,2023-12-06,2.92,2,296,38,HUTB-007764,41.3812,2.1298
Rental unit in Barcelona,4.33,1 bath,1 bed,Studio,265193861,BeBarceloner,Eixample,Sant Antoni,Entire home/apt,57.0,32,3,2022-12-16,0.07,148,334,1,,41.3836,2.1638
Serviced apartment in Barcelona,4.57,1 bath,4 beds,2 bedrooms,266006958,Sata Sagrada Familia,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,99.0,3,104,2023-11-30,2.24,5,31,51,HUTB-001468,41.4084,2.1652
Rental unit in Barcelona,,,1 bed,1 bedroom,302500867,Tg,Ciutat Vella,el Barri Gòtic,Private room,,30,0,,,1,0,0,,41.3823,2.1751
Rental unit in Barcelona,4.78,1 bath,2 beds,1 bedroom,4258623,8028,Les Corts,les Corts,Entire home/apt,102.0,1,590,2023-11-28,11.78,7,0,333,HUTB-088441,41.3846,2.1316
Rental unit in Barcelona,4.63,1 private bath,2 beds,1 bedroom,1361670,Nina Termi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,79.0,31,16,2023-11-02,0.35,2,179,1,Exempt,41.3863,2.1764
Rental unit in Barcelona,,,1 bed,1 bedroom,304618784,Myriam,Eixample,el Fort Pienc,Private room,,2,1,2019-11-04,0.02,1,0,0,Exempt,41.4002,2.1793
Rental unit in Barcelona,,,1 bed,1 bedroom,304887443,Keyla Julissa,Eixample,la Dreta de l'Eixample,Private room,,2,1,2019-11-02,0.02,1,0,0,Exempt,41.3875,2.1671
casa particular in Barcelona,,,1 bed,1 bedroom,303051071,Aurelio,Sarrià-Sant Gervasi,Sarrià,Private room,,30,0,,,1,0,0,,41.3915,2.1199
Rental unit in Barcelona,,,1 bed,1 bedroom,303106920,Clara,Eixample,l'Antiga Esquerra de l'Eixample,Private room,,1,0,,,1,0,0,Exempt,41.3891,2.1539
Rental unit in Barcelona,3.0,1 bath,3 beds,2 bedrooms,265193861,BeBarceloner,Ciutat Vella,la Barceloneta,Entire home/apt,65.0,32,3,2023-01-31,0.12,148,316,1,,41.3814,2.1889
Rental unit in Barcelona,,,2 beds,1 bedroom,24213046,Gissola,Sants-Montjuïc,la Font de la Guatlla,Private room,28.0,3,1,2020-01-04,0.02,2,0,0,Exempt,41.3734,2.1473
Rental unit in Barcelona,,,1 bed,1 bedroom,293476332,Lucia,Nou Barris,la Guineueta,Private room,,1,0,,,1,0,0,Exempt,41.4402,2.164
Rental unit in Barcelona,,,,1 bedroom,8568339,Leonardo,Eixample,la Dreta de l'Eixample,Private room,73.0,33,0,,,2,179,0,,41.3967,2.1675
Rental unit in Barcelona,,,1 bed,1 bedroom,305032692,Ema,Ciutat Vella,la Barceloneta,Private room,,1,2,2019-11-19,0.04,1,0,0,Exempt,41.3771,2.1918
Rental unit in Sant Adrià de Besòs,,,2 beds,1 bedroom,303270614,Inna,Sant Martí,el Besòs i el Maresme,Private room,49.0,3,2,2019-12-30,0.04,1,0,0,Exempt,41.4136,2.2203
Rental unit in Barcelona,,,1 bed,1 bedroom,305048520,Cristian,Ciutat Vella,el Raval,Private room,,2,0,,,1,0,0,Exempt,41.376,2.1723
Rental unit in Barcelona,,,1 bed,2 bedrooms,305052665,Elena,Sant Martí,el Camp de l'Arpa del Clot,Private room,,90,0,,,1,0,0,,41.412,2.1821
Serviced apartment in Barcelona,4.81,1 bath,2 beds,1 bedroom,302714385,Eric,Eixample,Sant Antoni,Entire home/apt,135.0,1,244,2023-12-03,4.97,5,359,71,HUTB-003631,41.3789,2.1547
Rental unit in Barcelona,,,1 bed,2 bedrooms,190753186,Alan,Gràcia,la Vila de Gràcia,Private room,,1,0,,,1,0,0,Exempt,41.3997,2.158
Rental unit in Barcelona,4.92,2 baths,7 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,211.0,5,105,2023-12-02,2.15,9,0,40,HUTB-005222,41.3897,2.1851
Rental unit in Barcelona,4.89,2 baths,7 beds,4 bedrooms,301446770,Xavi & Luna The Family Host,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,200.0,5,88,2023-11-28,1.87,9,201,40,HUTB-005220,41.3904,2.1846
Rental unit in BARCELONA,4.11,1 bath,2 beds,1 bedroom,4459553,AB Apartment Barcelona,Eixample,Sant Antoni,Entire home/apt,86.0,3,37,2023-11-05,0.78,179,347,14,HUTB-003244,41.3822,2.162
Serviced apartment in Barcelona,4.83,1 bath,3 beds,1 bedroom,302714385,Eric,Eixample,Sant Antoni,Entire home/apt,125.0,1,325,2023-12-11,6.52,5,355,63,HUTB-003576,41.3789,2.1547
Serviced apartment in Barcelona,4.81,1 bath,4 beds,2 bedrooms,302714385,Eric,Eixample,Sant Antoni,Entire home/apt,175.0,1,461,2023-12-10,9.56,5,359,105,HUTB-003573,41.3789,2.1547
Rental unit in Barcelona,,,4 beds,3 bedrooms,1447144,Acomodis Apartments,Eixample,el Fort Pienc,Entire home/apt,90.0,1,1,2023-11-26,1.0,174,365,1,HUTB-002422,41.3978,2.178
Rental unit in Barcelona,,,4 beds,3 bedrooms,1447144,Acomodis Apartments,Eixample,el Fort Pienc,Entire home/apt,90.0,1,0,,,174,365,0,HUTB-002422,41.3982,2.1782
Rental unit in Barcelona,4.85,2 baths,5 beds,3 bedrooms,22076771,Luis,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,90.0,30,13,2023-12-05,0.29,18,219,7,Exempt,41.406,2.1693
Rental unit in Barcelona,,,1 bed,1 bedroom,305087033,Carla,Sants-Montjuïc,Sants,Private room,,1,0,,,1,0,0,Exempt,41.3792,2.132
Rental unit in Barcelona,,,1 bed,1 bedroom,75740659,Fran,Eixample,la Sagrada Família,Private room,,2,1,2020-02-03,0.02,1,0,0,Exempt,41.4053,2.1758
Rental unit in Barcelona,,,2 beds,1 bedroom,305097041,Option,Eixample,Sant Antoni,Private room,50.0,1000,0,,,1,0,0,Exempt,41.3761,2.1518
Rental unit in Barcelona,,,1 bed,2 bedrooms,3716721,Luciana,Eixample,la Dreta de l'Eixample,Private room,,2,0,,,1,0,0,Exempt,41.3952,2.1735
Rental unit in Barcelona,4.50,1 shared bath,1 bed,1 bedroom,305106312,Diego,Sant Martí,el Poblenou,Private room,100.0,32,52,2022-10-10,1.05,1,169,0,Exempt,41.3988,2.1958
Rental unit in Barcelona,4.78,2 baths,4 beds,3 bedrooms,305113628,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,300.0,3,87,2023-12-03,1.75,1,148,34,HUTB-012409,41.3889,2.1716
Rental unit in Barcelona,,,7 beds,2 bedrooms,24213046,Gissola,Sants-Montjuïc,la Font de la Guatlla,Private room,,2,0,,,2,0,0,Exempt,41.3723,2.1468
Rental unit in Barcelona,,,5 beds,2 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,el Barri Gòtic,Entire home/apt,90.0,1,2,2023-06-14,0.12,174,365,1,HUTB-002780,41.383,2.1789
Rental unit in Barcelona,4.88,2 baths,5 beds,3 bedrooms,258951331,Alguera Sant Andreu,Sant Andreu,Sant Andreu,Entire home/apt,55.0,1,8,2023-10-04,0.26,4,238,3,Exempt,41.4386,2.19
Rental unit in Barcelona,,,,1 bedroom,307606763,Lucas,Sant Martí,el Besòs i el Maresme,Private room,,1,0,,,1,0,0,Exempt,41.4152,2.2154
Rental unit in Barcelona,4.40,1 bath,2 beds,2 bedrooms,258951331,Alguera Sant Andreu,Sant Andreu,Sant Andreu,Entire home/apt,40.0,1,5,2023-10-20,0.32,4,166,3,Exempt,41.4392,2.191
Hotel in Barcelona,,,2 beds,1 bedroom,294462605,Hotel Oasis,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,144.0,1,0,,,7,357,0,HB-002279,41.382,2.1841
Rental unit in Barcelona,,,2 beds,1 bedroom,2400390,Kristin,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,84.0,32,2,2023-07-16,0.2,1,315,2,,41.4098,2.1602
Townhouse in Barcelona,,,,1 bedroom,307783827,Madriss,Sant Andreu,la Sagrera,Private room,,1,0,,,1,0,0,Exempt,41.416,2.1924
Rental unit in Barcelona,,,2 beds,2 bedrooms,238751669,Jordi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,389.0,30,0,,,4,364,0,,41.3841,2.183
Rental unit in Barcelona,4.33,1 bath,2 beds,2 bedrooms,241009438,Alex,Ciutat Vella,el Barri Gòtic,Entire home/apt,45.0,32,12,2023-10-29,0.4,1,267,5,,41.3805,2.1782
Rental unit in Barcelona,5.0,2 baths,3 beds,2 bedrooms,9439719,Casa Valeta,Eixample,la Dreta de l'Eixample,Entire home/apt,182.0,3,84,2023-11-23,1.71,3,21,40,HUTB-007506,41.3964,2.162
Rental unit in Barcelona,,,1 bed,1 bedroom,114325250,Erika,Eixample,la Sagrada Família,Private room,,2,1,2019-11-17,0.02,1,0,0,Exempt,41.408,2.175
Rental unit in Barcelona,,,,1 bedroom,307906861,Alex,Eixample,el Fort Pienc,Private room,,1,0,,,1,0,0,Exempt,41.3945,2.1806
Serviced apartment in Barcelona,4.61,1 bath,3 beds,2 bedrooms,238503767,Apartamentos Sata Park Guell Area,Sarrià-Sant Gervasi,el Putxet i el Farró,Entire home/apt,86.0,2,94,2023-11-26,2.04,4,57,54,HUTB-000350,41.4056,2.1475
Rental unit in Barcelona,4.67,1 bath,2 beds,2 bedrooms,306713860,Silvia,Ciutat Vella,la Barceloneta,Entire home/apt,150.0,31,9,2023-06-18,0.23,1,149,4,,41.3769,2.1892
Rental unit in Barcelona,4.76,1 private bath,1 bed,1 bedroom,305453169,Sebastian,Ciutat Vella,el Barri Gòtic,Private room,54.0,2,83,2023-11-26,4.71,3,0,58,Exempt,41.3809,2.1794
Rental unit in Barcelona,,,1 bed,1 bedroom,23680065,Toni,Eixample,la Dreta de l'Eixample,Private room,,1,1,2019-11-15,0.02,1,0,0,Exempt,41.3946,2.1699
Rental unit in Barcelona,,,3 beds,2 bedrooms,336524176,Weflating,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,120.0,32,0,,,29,113,0,,41.3902,2.1604
Rental unit in Barcelona,,,3 beds,2 bedrooms,10704,Weflating,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,120.0,32,0,,,32,242,0,,41.3897,2.1596
Rental unit in Barcelona,4.35,1 bath,5 beds,2 bedrooms,307504641,Orobium,Gràcia,la Vila de Gràcia,Entire home/apt,105.0,1,39,2023-11-19,0.83,6,0,28,HUTB-004518,41.408,2.1512
Rental unit in Barcelona,4.55,1 bath,2 beds,2 bedrooms,307504641,Orobium,Gràcia,la Salut,Entire home/apt,92.0,1,58,2023-12-08,1.24,6,359,44,HUTB-004517,41.409,2.1533
Rental unit in Barcelona,4.47,1 bath,1 bed,1 bedroom,307504641,Orobium,Gràcia,la Vila de Gràcia,Entire home/apt,81.0,1,32,2023-11-27,0.66,6,355,21,HUTB-004518,41.4077,2.1511
Rental unit in Barcelona,4.30,2 baths,5 beds,3 bedrooms,307504641,Orobium,Gràcia,la Vila de Gràcia,Entire home/apt,139.0,1,82,2023-11-26,1.71,6,341,51,HUTB-004522,41.4068,2.1524
Rental unit in Barcelona,5.0,2 baths,5 beds,2 bedrooms,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,Entire home/apt,175.0,1,3,2023-09-30,0.3,174,322,3,HUTB-002596,41.374,2.1699
Rental unit in Barcelona,,,1 bed,1 bedroom,305495479,Teddy,Eixample,la Dreta de l'Eixample,Private room,,2,1,2019-11-03,0.02,1,0,0,Exempt,41.3919,2.1729
Rental unit in Barcelona,4.49,1 bath,3 beds,2 bedrooms,307504641,Orobium,Gràcia,la Salut,Entire home/apt,97.0,1,53,2023-11-03,1.12,6,359,34,HUTB-004519,41.4087,2.1526
Rental unit in Barcelona,4.35,1 bath,1 bed,1 bedroom,307504641,Orobium,Gràcia,la Salut,Entire home/apt,85.0,1,22,2023-11-11,1.34,6,0,20,HUTB-004520,41.4086,2.1512
Rental unit in Barcelona,3.88,1 bath,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,42.0,32,8,2023-09-30,0.2,148,365,2,,41.3891,2.18
Bed and breakfast in Barcelona,4.0,1 shared bath,6 beds,1 bedroom,296515283,Oscar,Eixample,la Dreta de l'Eixample,Shared room,500.0,1,7,2023-10-08,0.34,1,138,3,AJ000483,41.3946,2.1722
Rental unit in Barcelona,,,,1 bedroom,308092623,Diego,Gràcia,la Vila de Gràcia,Private room,,1,1,2019-11-17,0.02,1,0,0,Exempt,41.4026,2.16
Rental unit in Barcelona,4.0,1 bath,1 bed,Studio,265193861,BeBarceloner,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,50.0,32,5,2023-06-17,0.11,148,312,2,,41.3892,2.1818
Rental unit in Barcelona,,,1 bed,1 bedroom,1351777,Antonio,Horta-Guinardó,el Guinardó,Private room,,30,0,,,3,0,0,,41.4185,2.1763
Condo in Barcelona,5.0,2 baths,3 beds,2 bedrooms,291259015,Jon,Eixample,la Dreta de l'Eixample,Entire home/apt,175.0,1,5,2023-07-03,0.1,3,61,1,HUTB-009092,41.3894,2.1632
Rental unit in Barcelona,,,5 beds,2 bedrooms,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,Entire home/apt,100.0,1,0,,,174,323,0,HUTB-000219,41.3715,2.1676
Rental unit in Barcelona,4.61,1 bath,4 beds,2 bedrooms,305539657,Luis,Sants-Montjuïc,Hostafrancs,Entire home/apt,123.0,1,215,2023-12-10,4.47,1,278,124,HUTB-005835,41.3753,2.1466
Home in Barcelona,4.90,1 shared bath,1 bed,1 bedroom,183513865,Juanjo,Ciutat Vella,la Barceloneta,Private room,200.0,3,10,2022-09-26,0.33,1,0,0,Exempt,41.383,2.192
Rental unit in Barcelona,5.0,2 baths,1 bed,1 bedroom,308155490,Maria,Eixample,la Dreta de l'Eixample,Private room,,1,10,2020-03-01,0.2,1,0,0,Exempt,41.3974,2.1743
Rental unit in Barcelona,5.0,1 shared bath,1 bed,1 bedroom,302839601,Lionel,Ciutat Vella,el Raval,Private room,14.0,1,9,2020-12-21,0.23,1,0,0,Exempt,41.378,2.175
Rental unit in Barcelona,,,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,115.0,32,1,2021-11-22,0.04,19,0,0,Exempt,41.4059,2.1734
Rental unit in Barcelona,4.83,1 shared bath,1 bed,1 bedroom,305453169,Sebastian,Ciutat Vella,el Barri Gòtic,Private room,44.0,1,82,2023-11-16,4.72,3,197,57,Exempt,41.379,2.181
Rental unit in Barcelona,4.67,2 baths,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,140.0,32,6,2023-08-14,0.37,19,0,1,,41.4055,2.1756
Rental unit in Barcelona,4.53,2 baths,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,248.0,2,38,2023-05-23,1.21,19,61,8,HUTB-010552,41.4058,2.1734
Rental unit in Barcelona,4.75,1 shared bath,1 bed,2 bedrooms,305453169,Sebastian,Ciutat Vella,el Barri Gòtic,Private room,39.0,2,12,2023-11-20,0.83,3,355,11,Exempt,41.3791,2.181
