name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in Barcelona,4.90,1.5 baths,1 bed,1 bedroom,2268672,Bruna,Eixample,el Fort Pienc,Private room,,1,41,2017-11-01,0.29,1,0,0,,41.3994,2.176
Condo in Barcelona,4.86,1 shared bath,1 bed,1 bedroom,16569867,Lola,Eixample,la Nova Esquerra de l'Eixample,Private room,61.0,3,153,2023-10-26,1.35,2,18,17,,41.3785,2.1518
Rental unit in Barcelona,4.74,1 bath,1 bed,1 bedroom,1642180,The Loft,Sants-Montjuïc,el Poble Sec,Entire home/apt,105.0,4,69,2023-11-14,0.48,1,98,14,hutb-004655,41.372,2.1694
Rental unit in Barcelona,4.38,2 baths,3 beds,2 bedrooms,340570,Audun,Ciutat Vella,el Barri Gòtic,Entire home/apt,150.0,31,34,2023-11-05,0.24,2,333,5,,41.3805,2.1782
Rental unit in Barcelona,4.53,2 baths,4 beds,4 bedrooms,1432835,Angel,Sants-Montjuïc,el Poble Sec,Entire home/apt,129.0,3,285,2023-11-19,2.06,40,0,37,Hutb-002619,41.375,2.1601
Loft in Barcelona,4.69,1 bath,2 beds,1 bedroom,1995385,Ana,Eixample,la Dreta de l'Eixample,Entire home/apt,108.0,2,148,2023-11-12,1.05,3,65,32,HUTB-000381,41.3961,2.1689
Rental unit in Barcelona,4.56,1 bath,2 beds,1 bedroom,1657312,Alberto,Eixample,la Sagrada Família,Private room,,1,21,2014-07-29,0.15,1,0,0,,41.4084,2.1749
Rental unit in Barcelona,4.87,1 bath,3 beds,2 bedrooms,2337603,Rosa,Gràcia,la Vila de Gràcia,Entire home/apt,161.0,3,83,2023-12-03,0.86,4,68,26,HUTB-213958,41.3982,2.1608
Rental unit in Barcelona,4.84,2 baths,3 beds,2 bedrooms,2337603,Rosa,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,159.0,3,69,2023-08-31,0.65,4,340,6,HUTB-368708,41.3987,2.1529
Rental unit in Barcelona,4.91,2 baths,3 beds,2 bedrooms,2337603,Rosa,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,207.0,3,68,2023-11-18,0.72,4,147,22,HUTB-025983,41.399,2.1528
Rental unit in Barcelona,4.63,1 shared bath,1 bed,1 bedroom,2365702,David,Sant Martí,el Parc i la Llacuna del Poblenou,Private room,40.0,1,279,2023-11-27,1.99,2,349,30,,41.4025,2.1967
Rental unit in Barcelona,4.54,2 baths,1 bed,1 bedroom,1687383,JuanMi,Ciutat Vella,el Raval,Private room,21.0,31,52,2021-12-19,0.37,2,336,0,,41.3757,2.1712
Loft in Barcelona,,,2 beds,1 bedroom,2272146,Javi,Sants-Montjuïc,el Poble Sec,Private room,,1,0,,,1,0,0,,41.3723,2.1657
Rental unit in Barcelona,4.65,1 bath,2 beds,1 bedroom,2320210,"Ale, Maria & Arthur",Eixample,la Dreta de l'Eixample,Entire home/apt,117.0,1,86,2023-12-01,0.98,46,98,27,HUTB-001080,41.3978,2.165
Rental unit in Barcelona,4.65,1 shared bath,1 bed,1 bedroom,2143907,Daniel,Sants-Montjuïc,Sants,Private room,25.0,31,30,2023-11-05,0.21,3,70,3,,41.3735,2.1321
Rental unit in Barcelona,4.84,1 shared bath,2 beds,3 bedrooms,2143907,Daniel,Sants-Montjuïc,Sants - Badal,Private room,22.0,31,27,2019-11-14,0.19,3,90,0,,41.3781,2.128
Rental unit in Barcelona,4.62,2 baths,2 beds,2 bedrooms,768692,Robert,Sant Martí,la Vila Olímpica del Poblenou,Entire home/apt,220.0,31,17,2015-06-22,0.12,1,331,0,,41.3878,2.196
Rental unit in Barcelona,4.96,1 bath,1 bed,1 bedroom,6907539,Jud,Sants-Montjuïc,el Poble Sec,Entire home/apt,137.0,5,267,2023-12-03,1.94,17,0,48,HUTB-009667,41.3724,2.1654
Rental unit in Barcelona,4.87,1.5 baths,3 beds,1 bedroom,1687524,Virginia,Eixample,la Dreta de l'Eixample,Entire home/apt,132.0,3,239,2023-12-05,1.69,2,69,38,HUTB-003905,41.3908,2.175
