,category,fsq_id,categories,chains,closed_bucket,distance,geocodes,link,location,name,related_places,timezone
10,Dinning and Drinking,4fce4b57e4b0409de3dcb5f0,"[{'id': 19014, 'name': 'Hotel', 'short_name': 'Hotel', 'plural_name': 'Hotels', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13013, 'name': 'Hotel Bar', 'short_name': 'Hotel Bar', 'plural_name': 'Hotel Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",[],LikelyOpen,1942.0,"{'main': {'latitude': 41.388056, 'longitude': 41.41325}}",/v3/places/4fce4b57e4b0409de3dcb5f0,"{'address': 'Rize Cad Hotel Terzioğlu No: 27, Hopa Merkez, Hopa', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Rize Cad Hotel Terzioğlu No: 27, Hopa Merkez, Hopa, Hopa', 'locality': 'Artvin'}",Terzioğlu Restaurant,{},Europe/Istanbul
11,Dinning and Drinking,55bbb8eb498e7447aa9a2f0f,"[{'id': 13000, 'name': 'Dining and Drinking', 'short_name': 'Dining and Drinking', 'plural_name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],Unsure,1763.0,"{'main': {'latitude': 41.386083, 'longitude': 41.410448}}",/v3/places/55bbb8eb498e7447aa9a2f0f,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Çağlayan Restorant,{},Europe/Istanbul
12,Dinning and Drinking,5766fb67498e9829d3e10a93,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],LikelyOpen,1776.0,"{'main': {'latitude': 41.386517, 'longitude': 41.41089}}",/v3/places/5766fb67498e9829d3e10a93,"{'country': 'TR', 'cross_street': '', 'formatted_address': 'Hopa', 'locality': 'Hopa', 'region': 'Artvin'}",Papilla,{},Europe/Istanbul
13,Dinning and Drinking,577e3678498e658ce087ad4c,"[{'id': 13009, 'name': 'Cocktail Bar', 'short_name': 'Cocktail', 'plural_name': 'Cocktail Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",[],Unsure,1875.0,"{'drop_off': {'latitude': 41.387679, 'longitude': 41.412057}, 'main': {'latitude': 41.387457, 'longitude': 41.412223}}",/v3/places/577e3678498e658ce087ad4c,"{'address': 'Hopa Otogar', 'country': 'TR', 'cross_street': 'Terminal', 'formatted_address': 'Hopa Otogar (Terminal), 08600 Artvin', 'locality': 'Artvin', 'postcode': '08600'}",Rocco Cafe & Bar,{},Europe/Istanbul
14,Dinning and Drinking,56d09f3fcd1004ac31d8fb1e,"[{'id': 13386, 'name': 'Vineyard', 'short_name': 'Vineyard', 'plural_name': 'Vineyards', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/vineyard_', 'suffix': '.png'}}]",[],LikelyOpen,1889.0,"{'main': {'latitude': 41.372927, 'longitude': 41.389824}}",/v3/places/56d09f3fcd1004ac31d8fb1e,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Zennat,{},Europe/Istanbul
15,Dinning and Drinking,542599fd498e36767b0c9ead,"[{'id': 13165, 'name': 'German Restaurant', 'short_name': 'German', 'plural_name': 'German Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/german_', 'suffix': '.png'}}]",[],Unsure,1980.0,"{'main': {'latitude': 41.389514, 'longitude': 41.41367}}",/v3/places/542599fd498e36767b0c9ead,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Hayvan Pazarı Restorant,{},Europe/Istanbul
16,Travel and Transportation,50ae0085e4b045752a2a7d46,"[{'id': 19014, 'name': 'Hotel', 'short_name': 'Hotel', 'plural_name': 'Hotels', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],LikelyOpen,1832.0,"{'main': {'latitude': 41.386825, 'longitude': 41.411362}}",/v3/places/50ae0085e4b045752a2a7d46,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Evgin Otel,{},Europe/Istanbul
17,Travel and Transportation,57a4566b38fa6612ae7a8125,"[{'id': 19023, 'name': 'Port', 'short_name': 'Port', 'plural_name': 'Ports', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/boat_', 'suffix': '.png'}}]",[],LikelyOpen,1206.0,"{'main': {'latitude': 41.379148, 'longitude': 41.391617}}",/v3/places/57a4566b38fa6612ae7a8125,"{'country': 'TR', 'cross_street': '', 'formatted_address': 'Hopa', 'locality': 'Hopa', 'region': 'Artvin'}",Hopa Balıkçı Barınağı,{},Europe/Istanbul
18,Travel and Transportation,511614dce4b0e64d2534ca01,"[{'id': 19024, 'name': 'Rest Area', 'short_name': 'Rest Areas', 'plural_name': 'Rest Areas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/restarea_', 'suffix': '.png'}}]",[],LikelyOpen,1231.0,"{'main': {'latitude': 41.379095, 'longitude': 41.393582}}",/v3/places/511614dce4b0e64d2534ca01,"{'address': 'Güvercinli Köyü', 'country': 'TR', 'cross_street': 'Tepe', 'formatted_address': 'Güvercinli Köyü (Tepe), 08600 Artvin', 'locality': 'Artvin', 'postcode': '08600'}",Buçe,{},Europe/Istanbul
19,Travel and Transportation,58e8b446e9233e1591ff4899,"[{'id': 19049, 'name': 'Taxi Stand', 'short_name': 'Taxi Stand', 'plural_name': 'Taxi Stands', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/taxi_', 'suffix': '.png'}}]",[],LikelyOpen,1584.0,"{'main': {'latitude': 41.384929, 'longitude': 41.407727}}",/v3/places/58e8b446e9233e1591ff4899,"{'address': 'Artvin', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Artvin, 08600 Hopa', 'locality': 'Hopa', 'postcode': '08600', 'region': 'Artvin'}",Terminal Taxii,{},Europe/Istanbul
20,Travel and Transportation,4fce4b57e4b0409de3dcb5f0,"[{'id': 19014, 'name': 'Hotel', 'short_name': 'Hotel', 'plural_name': 'Hotels', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}, {'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13013, 'name': 'Hotel Bar', 'short_name': 'Hotel Bar', 'plural_name': 'Hotel Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",[],LikelyOpen,1942.0,"{'main': {'latitude': 41.388056, 'longitude': 41.41325}}",/v3/places/4fce4b57e4b0409de3dcb5f0,"{'address': 'Rize Cad Hotel Terzioğlu No: 27, Hopa Merkez, Hopa', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Rize Cad Hotel Terzioğlu No: 27, Hopa Merkez, Hopa, Hopa', 'locality': 'Artvin'}",Terzioğlu Restaurant,{},Europe/Istanbul
21,Travel and Transportation,57c3c734498e382e56c5b57c,"[{'id': 19042, 'name': 'Bus Station', 'short_name': 'Bus Station', 'plural_name': 'Bus Stations', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],LikelyOpen,1825.0,"{'main': {'latitude': 41.386825, 'longitude': 41.411362}}",/v3/places/57c3c734498e382e56c5b57c,"{'country': 'TR', 'cross_street': '', 'formatted_address': '08600', 'postcode': '08600', 'region': 'Artvin'}",Hopa Otobüs Terminali,{},Europe/Istanbul
22,Travel and Transportation,5587ee70498e38593012b684,"[{'id': 19043, 'name': 'Bus Stop', 'short_name': 'Bus Stop', 'plural_name': 'Bus Stops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],LikelyOpen,1872.0,"{'main': {'latitude': 41.387224, 'longitude': 41.411993}}",/v3/places/5587ee70498e38593012b684,"{'address': 'Hopa Terminali Hopa Merkez', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Hopa Terminali Hopa Merkez, Hopa', 'locality': 'Hopa', 'region': 'Artvin'}",Yeşil Artvin Ekspres,{},Europe/Istanbul
23,Travel and Transportation,4f27b0cfa17cd806fc503af5,"[{'id': 19042, 'name': 'Bus Station', 'short_name': 'Bus Station', 'plural_name': 'Bus Stations', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}}]",[],VeryLikelyOpen,1876.0,"{'main': {'latitude': 41.387206, 'longitude': 41.412146}}",/v3/places/4f27b0cfa17cd806fc503af5,"{'country': 'TR', 'cross_street': '', 'formatted_address': 'Artvin', 'locality': 'Artvin', 'region': 'Artvin'}",Hopa Şehirler Arası Otobüs Terminali,{},Europe/Istanbul
