Ramas de actividad,Año,Total,Código
netos sobre los productos,2019,1471474,4
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15659622,4
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14607070,4
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,15813933,4
"Agricultura, ganadería, silvicultura y pesca",2021,201362,1
"Agricultura, ganadería, silvicultura y pesca",2020,189557,1
"Agricultura, ganadería, silvicultura y pesca",2019,212839,1
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3832143,1
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3388952,1
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3781684,1
- De las cuales: Industria manufacturera,2021,3473573,1
- De las cuales: Industria manufacturera,2020,3145920,1
- De las cuales: Industria manufacturera,2019,3588690,1
Construcción,2021,400677,1
Construcción,2020,429096,1
Construcción,2019,518235,1
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1946392,1
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1669800,1
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1961560,1
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2434844,1
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2327165,1
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2392190,1
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2891885,1
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2700268,1
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2754616,1
añadido bruto total,2021,11707303,1
añadido bruto total,2020,10704838,1
añadido bruto total,2019,11621124,1
netos sobre los productos,2021,1232680,1
netos sobre los productos,2020,1026613,1
netos sobre los productos,2019,1192277,1
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12939983,1
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11731451,1
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12813401,1
"Agricultura, ganadería, silvicultura y pesca",2021,306301,33
"Agricultura, ganadería, silvicultura y pesca",2020,284291,33
"Agricultura, ganadería, silvicultura y pesca",2019,307966,33
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,4572369,33
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3762056,33
