Energía (MWh),Porcentage de Generación Renovable,COD-CCAA,Año,Mes,Tipo de energía
84883.153,0.7553021881345152,8742,2021,3,2
53035.683,0.6844211542788657,8742,2021,4,2
164670.892,0.8402381336370617,8742,2021,5,2
150392.79,0.8394270528539214,8742,2021,6,2
162253.472,0.8328844853618589,8742,2021,7,2
148350.357,0.833443561854712,8742,2021,8,2
107872.593,0.8195616464853734,8742,2021,9,2
122018.634,0.8359738525114736,8742,2021,10,2
91768.507,0.8424525802882443,8742,2021,11,2
92741.406,0.8280721858350104,8742,2021,12,2
16647.461,0.1664871048572195,8742,2021,1,3
18033.656,0.2282846074464709,8742,2021,2,3
24504.39,0.2180434954613612,8742,2021,3,3
22758.418,0.2936955241459022,8742,2021,4,3
27092.844,0.1382420438791335,8742,2021,5,3
24760.27,0.1382010432412841,8742,2021,6,3
27953.649,0.1434925260727304,8742,2021,7,3
26132.583,0.1468148341293435,8742,2021,8,3
21642.745,0.1644306791314739,8742,2021,9,3
21049.276,0.1442127630300901,8742,2021,10,3
15037.382,0.138046064830062,8742,2021,11,3
17045.5,0.1521963603145144,8742,2021,12,3
358.723,0.003587499241818,8742,2021,1,5
699.782,0.0088584067017861,8742,2021,2,5
791.785,0.0070454138647758,8742,2021,3,5
722.021,0.0093176219910957,8742,2021,4,5
722.568,0.0036869247525899,8742,2021,5,5
723.959,0.0040408238304314,8742,2021,6,5
734.029,0.0037679401147463,8742,2021,7,5
569.807,0.0032012189606645,8742,2021,8,5
400.133,0.0030400090622938,8742,2021,9,5
755.997,0.0051794853282582,8742,2021,10,5
753.238,0.0069148700073235,8742,2021,11,5
826.638,0.0073809096182376,8742,2021,12,5
18324.586,0.5222924662476366,6,2019,1,1
33896.027,0.6841095353028828,6,2019,2,1
20897.705,0.585801231287587,6,2019,3,1
18934.539,0.5382456817204587,6,2019,4,1
16525.627,0.5085280456423915,6,2019,5,1
12824.067,0.475925589066639,6,2019,6,1
