Año,Total,Código Provincia,ID_Grupo_Edad,Id_Nacional_Extranjero,ID_Sexo
2021,171348,39,2,1,2
2020,171035,39,2,1,2
2019,172213,39,2,1,2
2021,13909,39,2,2,1
2020,13819,39,2,2,1
2019,12722,39,2,2,1
2021,15310,39,2,2,2
2020,15223,39,2,2,2
2019,13869,39,2,2,2
2021,55806,39,3,1,1
2020,54491,39,3,1,1
2019,53461,39,3,1,1
2021,74379,39,3,1,2
2020,73234,39,3,1,2
2019,71969,39,3,1,2
2021,733,39,3,2,1
2020,668,39,3,2,1
2019,571,39,3,2,1
2021,1098,39,3,2,2
2020,1032,39,3,2,2
2019,899,39,3,2,2
2021,38979,12,1,1,1
2020,39596,12,1,1,1
2019,40054,12,1,1,1
2021,36743,12,1,1,2
2020,37281,12,1,1,2
2019,37751,12,1,1,2
2021,8049,12,1,2,1
2020,8213,12,1,2,1
2019,7958,12,1,2,1
2021,7261,12,1,2,2
2020,7416,12,1,2,2
2019,7190,12,1,2,2
2021,159523,12,2,1,1
2020,158997,12,2,1,1
2019,158876,12,2,1,1
2021,153080,12,2,1,2
2020,152661,12,2,1,2
2019,152625,12,2,1,2
2021,33553,12,2,2,1
2020,33587,12,2,2,1
2019,31749,12,2,2,1
2021,34620,12,2,2,2
2020,34527,12,2,2,2
2019,32546,12,2,2,2
2021,48716,12,3,1,1
2020,48030,12,3,1,1
2019,47314,12,3,1,1
2021,60878,12,3,1,2
2020,60033,12,3,1,2
2019,59231,12,3,1,2
2021,2595,12,3,2,1
2020,2376,12,3,2,1
2019,2126,12,3,2,1
2021,3067,12,3,2,2
2020,2873,12,3,2,2
2019,2542,12,3,2,2
2021,34558,13,1,1,1
2020,35290,13,1,1,1
2019,35791,13,1,1,1
2021,32927,13,1,1,2
2020,33501,13,1,1,2
2019,34087,13,1,1,2
2021,2796,13,1,2,1
2020,2868,13,1,2,1
2019,2772,13,1,2,1
2021,2641,13,1,2,2
2020,2668,13,1,2,2
2019,2608,13,1,2,2
2021,150339,13,2,1,1
2020,150541,13,2,1,1
2019,151651,13,2,1,1
2021,144496,13,2,1,2
2020,144851,13,2,1,2
2019,146008,13,2,1,2
2021,12755,13,2,2,1
2020,12612,13,2,2,1
2019,11486,13,2,2,1
2021,12061,13,2,2,2
2020,12018,13,2,2,2
2019,11253,13,2,2,2
2021,42929,13,3,1,1
2020,43184,13,3,1,1
2019,42885,13,3,1,1
2021,56147,13,3,1,2
2020,56655,13,3,1,2
2019,56492,13,3,1,2
2021,386,13,3,2,1
2020,347,13,3,2,1
2019,292,13,3,2,1
2021,556,13,3,2,2
2020,510,13,3,2,2
2019,436,13,3,2,2
2021,59029,14,1,1,1
2020,60452,14,1,1,1
2019,61585,14,1,1,1
2021,55624,14,1,1,2
2020,56893,14,1,1,2
2019,57948,14,1,1,2
2021,1721,14,1,2,1
2020,1826,14,1,2,1
2019,1668,14,1,2,1
2021,1567,14,1,2,2
2020,1697,14,1,2,2
2019,1593,14,1,2,2
2021,245710,14,2,1,1
2020,247127,14,2,1,1
2019,248376,14,2,1,1
2021,241627,14,2,1,2
2020,242985,14,2,1,2
2019,244282,14,2,1,2
2021,8029,14,2,2,1
2020,8340,14,2,2,1
2019,8107,14,2,2,1
2021,9492,14,2,2,2
2020,9665,14,2,2,2
2019,8876,14,2,2,2
2021,65501,14,3,1,1
2020,64690,14,3,1,1
2019,63664,14,3,1,1
2021,87453,14,3,1,2
2020,86792,14,3,1,2
2019,86021,14,3,1,2
2021,483,14,3,2,1
2020,451,14,3,2,1
2019,390,14,3,2,1
2021,553,14,3,2,2
2020,533,14,3,2,2
2019,469,14,3,2,2
2021,69937,15,1,1,1
2020,71188,15,1,1,1
2019,72128,15,1,1,1
2021,65916,15,1,1,2
2020,66983,15,1,1,2
2019,67916,15,1,1,2
2021,2926,15,1,2,1
2020,2874,15,1,2,1
2019,2502,15,1,2,1
2021,2738,15,1,2,2
2020,2683,15,1,2,2
2019,2349,15,1,2,2
2021,327408,15,2,1,1
2020,328955,15,2,1,1
2019,330911,15,2,1,1
2021,333264,15,2,1,2
2020,335013,15,2,1,2
2019,337395,15,2,1,2
2021,16739,15,2,2,1
2020,16426,15,2,2,1
2019,14500,15,2,2,1
2021,18857,15,2,2,2
2020,18461,15,2,2,2
2019,16531,15,2,2,2
2021,118885,15,3,1,1
2020,117260,15,3,1,1
2019,115501,15,3,1,1
2021,160778,15,3,1,2
2020,159364,15,3,1,2
2019,157638,15,3,1,2
2021,1109,15,3,2,1
2020,1078,15,3,2,1
2019,928,15,3,2,1
2021,1577,15,3,2,2
2020,1530,15,3,2,2
2019,1297,15,3,2,2
2021,10857,16,1,1,1
2020,10996,16,1,1,1
2019,11236,16,1,1,1
2021,10481,16,1,1,2
2020,10658,16,1,1,2
2019,10956,16,1,1,2
2021,2156,16,1,2,1
2020,2140,16,1,2,1
2019,2058,16,1,2,1
2021,2119,16,1,2,2
2020,2071,16,1,2,2
2019,1981,16,1,2,2
2021,55942,16,2,1,1
2020,55917,16,2,1,1
2019,56430,16,2,1,1
2021,51596,16,2,1,2
2020,51410,16,2,1,2
2019,51754,16,2,1,2
2021,8935,16,2,2,1
2020,8867,16,2,2,1
2019,8203,16,2,2,1
2021,8532,16,2,2,2
2020,8511,16,2,2,2
2019,7872,16,2,2,2
2021,19987,16,3,1,1
2020,20286,16,3,1,1
2019,20433,16,3,1,1
2021,24326,16,3,1,2
2020,24741,16,3,1,2
2019,24949,16,3,1,2
2021,241,16,3,2,1
2020,224,16,3,2,1
2019,182,16,3,2,1
2021,344,16,3,2,2
2020,318,16,3,2,2
2019,275,16,3,2,2
2021,50212,20,1,1,1
2020,51302,20,1,1,1
2019,52413,20,1,1,1
2021,47546,20,1,1,2
2020,48607,20,1,1,2
2019,49541,20,1,1,2
2021,5062,20,1,2,1
2020,5127,20,1,2,1
2019,4822,20,1,2,1
2021,4690,20,1,2,2
2020,4726,20,1,2,2
2019,4390,20,1,2,2
2021,203882,20,2,1,1
2020,204684,20,2,1,1
2019,205401,20,2,1,1
2021,200437,20,2,1,2
2020,200937,20,2,1,2
2019,201907,20,2,1,2
2021,24570,20,2,2,1
2020,24000,20,2,2,1
2019,21967,20,2,2,1
2021,24617,20,2,2,2
2020,24520,20,2,2,2
2019,22471,20,2,2,2
2021,70110,20,3,1,1
2020,69219,20,3,1,1
2019,68054,20,3,1,1
2021,92868,20,3,1,2
2020,92087,20,3,1,2
2019,90965,20,3,1,2
2021,881,20,3,2,1
2020,798,20,3,2,1
2019,706,20,3,2,1
2021,1158,20,3,2,2
2020,1114,20,3,2,2
2019,939,20,3,2,2
2021,53471,17,1,1,1
2020,53828,17,1,1,1
2019,54248,17,1,1,1
2021,50482,17,1,1,2
2020,50953,17,1,1,2
2019,51376,17,1,1,2
2021,13802,17,1,2,1
2020,14334,17,1,2,1
2019,13971,17,1,2,1
2021,13105,17,1,2,2
2020,13514,17,1,2,2
2019,13168,17,1,2,2
2021,197933,17,2,1,1
2020,196297,17,2,1,1
2019,195944,17,2,1,1
2021,192809,17,2,1,2
2020,190821,17,2,1,2
2019,190175,17,2,1,2
2021,64181,17,2,2,1
2020,63955,17,2,2,1
2019,59832,17,2,2,1
2021,57456,17,2,2,2
2020,57646,17,2,2,2
2019,54906,17,2,2,2
2021,58981,17,3,1,1
2020,57653,17,3,1,1
2019,56410,17,3,1,1
2021,72890,17,3,1,2
2020,71801,17,3,1,2
2019,70583,17,3,1,2
2021,5401,17,3,2,1
2020,5116,17,3,2,1
2019,4893,17,3,2,1
2021,6085,17,3,2,2
2020,5870,17,3,2,2
2019,5538,17,3,2,2
2021,68986,18,1,1,1
2020,70402,18,1,1,1
2019,71218,18,1,1,1
2021,65314,18,1,1,2
2020,66405,18,1,1,2
2019,67243,18,1,1,2
2021,4705,18,1,2,1
2020,4640,18,1,2,1
2019,4280,18,1,2,1
2021,4524,18,1,2,2
2020,4383,18,1,2,2
2019,4016,18,1,2,2
2021,279104,18,2,1,1
2020,278728,18,2,1,1
2019,279046,18,2,1,1
2021,277717,18,2,1,2
2020,277335,18,2,1,2
2019,277519,18,2,1,2
2021,27404,18,2,2,1
2020,26360,18,2,2,1
2019,24732,18,2,2,1
2021,25281,18,2,2,2
2020,24384,18,2,2,2
2019,22594,18,2,2,2
2021,70787,18,3,1,1
2020,69771,18,3,1,1
2019,68599,18,3,1,1
2021,92056,18,3,1,2
2020,91372,18,3,1,2
2019,90084,18,3,1,2
2021,2697,18,3,2,1
2020,2694,18,3,2,1
2019,2680,18,3,2,1
2021,2763,18,3,2,2
2020,2694,18,3,2,2
2019,2667,18,3,2,2
2021,19872,19,1,1,1
2020,19939,19,1,1,1
2019,20148,19,1,1,1
2021,18879,19,1,1,2
2020,19001,19,1,1,2
2019,19231,19,1,1,2
2021,3443,19,1,2,1
2020,3398,19,1,2,1
2019,3151,19,1,2,1
2021,3148,19,1,2,2
2020,3092,19,1,2,2
2019,2909,19,1,2,2
2021,77272,19,2,1,1
2020,75941,19,2,1,1
2019,75205,19,2,1,1
2021,71877,19,2,1,2
2020,70600,19,2,1,2
2019,70015,19,2,1,2
2021,14326,19,2,2,1
2020,14086,19,2,2,1
2019,12995,19,2,2,1
2021,13974,19,2,2,2
2020,13698,19,2,2,2
2019,12739,19,2,2,2
2021,19183,19,3,1,1
2020,19006,19,3,1,1
2019,18616,19,3,1,1
2021,22259,19,3,1,2
2020,21999,19,3,1,2
2019,21681,19,3,1,2
2021,528,19,3,2,1
2020,469,19,3,2,1
2019,419,19,3,2,1
2021,827,19,3,2,2
2020,766,19,3,2,2
2019,653,19,3,2,2
2021,40100,21,1,1,1
2020,40738,21,1,1,1
2019,41364,21,1,1,1
2021,37778,21,1,1,2
2020,38263,21,1,1,2
2019,38791,21,1,1,2
2021,3376,21,1,2,1
2020,3348,21,1,2,1
2019,3145,21,1,2,1
